0,National Gallery of Art
1,Los Angeles County Museum of Art (LACMA)
2,Louvre
3,Munch Museum
4,National Gallery
5,J. Paul Getty Museum
6,Petit Palais
7,Gemeentemuseum den Haag
8,Museum of Modern Art (MoMA)
9,Alte Pinakothek
10,Kunsthistorisches Museum
11,Hessisches Landesmuseum Darmstadt
12,Hermitage Museum
13,Musée des Beaux-Arts de Chartres
14,Museum Ludwig
15,Tate Modern
16,Courtauld Institute of Art
17,Gemäldegalerie
18,Thyssen-Bornemisza Museum
19,Frick Collection
20,Galleria dell&#39;Accademia
21,National Museum of Capodimonte
22,Uffizi Gallery
23,Kunstsammlung Nordrhein-Westfalen
24,Tretyakov Gallery
25,Georges Pompidou Center
26,Palazzo Brera
27,Ny Carlsberg Glyptotek
28,Musée d&#39;Orsay
29,National Gallery of Canada
30,Russian Museum
31,National Gallery of Armenia
32,Galerie Neue Meister
33,Tate Britain
34,Alte Nationalgalerie
35,Victoria and Albert Museum (V&A)
36,Royal Academy of Arts (RA)
37,Alex Vömel Gallery
38,Albright-Knox Art Gallery
39,Metropolitan Museum of Art (Met)
40,Musée Fabre
41,National Museum Cardiff
42,Wallace Collection
43,Museum of Fine Arts
44,Sistine Chapel
45,Palazzo Apostolico
46,Kimbell Art Museum
47,Musée Granet
48,Musée Ingres
49,Solomon R. Guggenheim Museum
50,Museo del Prado
51,Real Academia de Bellas Artes de San Fernando
52,Palazzo Grimani di Santa Maria Formosa
53,El Escorial
54,National Museum of Ancient Art (MNAA)
55,Palais des Beaux-Arts de Lille
56,Städel
57,Musée Thomas-Henry
58,Dulwich Picture Gallery
59,Scottish National Gallery
60,Palazzo Pitti
61,Kunsthalle Hamburg
62,Germanisches Nationalmuseum
63,St. Bavo Cathedral
64,Isabella Stewart Gardner Museum (Fenway Court)
65,Musée Jacquemart-André
66,Ashmolean Museum
67,Walker Art Gallery
68,National Gallery of Ancient Art (GNAA)
69,Pinacoteca Nazionale di Bologna
70,Musee des Beaux-Arts de Caen
71,Nationalmuseum
72,National Gallery of Umbria (Palazzo dei Priori)
73,Santa Maria Maddalena dei Pazzi
74,Bavarian State Painting Collections
75,Santa Maria del Carmine
76,Masaccio Museum (Cascia di Reggello)
77,National Museum of San Matteo
78,Musée des Beaux-Arts d&#39;Angers
79,Kupferstichkabinett Berlin
80,Stedelijk Museum
81,Philadelphia Museum of Art
82,Broad
83,Basilica di San Marco
84,Van Gogh Museum
85,Pushkin Museum
86,E.G. Bührle Foundation
