Worker ID,Art (image+title) #1: ID,Art (image+title) #1: Is painting,Art (image+title) #1: Art rating,Art (image+title) #2: ID,Art (image+title) #2: Is painting,Art (image+title) #2: Art rating,Art (image+title) #3: ID,Art (image+title) #3: Is painting,Art (image+title) #3: Art rating,Art (image+title) #4: ID,Art (image+title) #4: Is painting,Art (image+title) #4: Art rating,Art (image+title) #5: ID,Art (image+title) #5: Is painting,Art (image+title) #5: Art rating
worker_1,577284aeedc2cb3880fe8ca7,yes,0,57728500edc2cb3880ffb2bc,yes,-2,57728030edc2cb3880f07e00,yes,0,57726f0dedc2cb3880b94625,yes,3,57728703edc2cb3880061039,yes,3
worker_2,577284aeedc2cb3880fe8ca7,yes,-2,57728500edc2cb3880ffb2bc,yes,-3,57728030edc2cb3880f07e00,no,-3,57726f0dedc2cb3880b94625,yes,3,57728703edc2cb3880061039,yes,2
worker_3,577284aeedc2cb3880fe8ca7,yes,0,57728500edc2cb3880ffb2bc,yes,0,57728030edc2cb3880f07e00,yes,0,57726f0dedc2cb3880b94625,yes,1,57728703edc2cb3880061039,yes,0
worker_4,577284aeedc2cb3880fe8ca7,yes,3,57728500edc2cb3880ffb2bc,yes,3,57728030edc2cb3880f07e00,no,3,57726f0dedc2cb3880b94625,yes,3,57728703edc2cb3880061039,yes,2
worker_5,577284aeedc2cb3880fe8ca7,yes,3,57728500edc2cb3880ffb2bc,yes,-1,57728030edc2cb3880f07e00,no,-2,57726f0dedc2cb3880b94625,yes,3,57728703edc2cb3880061039,yes,3
worker_6,577284aeedc2cb3880fe8ca7,yes,1,57728500edc2cb3880ffb2bc,yes,-1,57728030edc2cb3880f07e00,no,-1,57726f0dedc2cb3880b94625,yes,1,57728703edc2cb3880061039,yes,-2
worker_7,577284aeedc2cb3880fe8ca7,yes,2,57728500edc2cb3880ffb2bc,yes,-3,57728030edc2cb3880f07e00,no,0,57726f0dedc2cb3880b94625,yes,3,57728703edc2cb3880061039,yes,-3
worker_8,577284aeedc2cb3880fe8ca7,yes,1,57728500edc2cb3880ffb2bc,yes,1,57728030edc2cb3880f07e00,no,1,57726f0dedc2cb3880b94625,yes,1,57728703edc2cb3880061039,yes,0
worker_9,577284aeedc2cb3880fe8ca7,yes,-3,57728500edc2cb3880ffb2bc,yes,0,57728030edc2cb3880f07e00,no,0,57726f0dedc2cb3880b94625,yes,1,57728703edc2cb3880061039,yes,0
worker_10,577284aeedc2cb3880fe8ca7,yes,0,57728500edc2cb3880ffb2bc,yes,2,57728030edc2cb3880f07e00,no,1,57726f0dedc2cb3880b94625,yes,0,57728703edc2cb3880061039,yes,1
worker_11,57728095edc2cb3880f1c3f4,yes,1,57726f0fedc2cb3880b94ae6,yes,3,57726e8dedc2cb3880b76528,yes,-3,5772850cedc2cb3880ffc52b,yes,2,57727334edc2cb3880c7ea9a,yes,2
worker_12,57728095edc2cb3880f1c3f4,yes,0,57726f0fedc2cb3880b94ae6,yes,2,57726e8dedc2cb3880b76528,yes,0,5772850cedc2cb3880ffc52b,yes,1,57727334edc2cb3880c7ea9a,yes,2
