UTENTE,OPERA,RATING
worker_1,577284aeedc2cb3880fe8ca7,0
worker_1,57728500edc2cb3880ffb2bc,-2
worker_1,57728030edc2cb3880f07e00,0
worker_1,57726f0dedc2cb3880b94625,3
worker_1,57728703edc2cb3880061039,3
worker_2,577284aeedc2cb3880fe8ca7,-2
worker_2,57728500edc2cb3880ffb2bc,-3
worker_2,57728030edc2cb3880f07e00,-3
worker_2,57726f0dedc2cb3880b94625,3
worker_2,57728703edc2cb3880061039,2
worker_3,577284aeedc2cb3880fe8ca7,0
worker_3,57728500edc2cb3880ffb2bc,0
worker_3,57728030edc2cb3880f07e00,0
worker_3,57726f0dedc2cb3880b94625,1
worker_3,57728703edc2cb3880061039,0
worker_4,577284aeedc2cb3880fe8ca7,3
worker_4,57728500edc2cb3880ffb2bc,3
worker_4,57728030edc2cb3880f07e00,3
worker_4,57726f0dedc2cb3880b94625,3
worker_4,57728703edc2cb3880061039,2
worker_5,577284aeedc2cb3880fe8ca7,3
worker_5,57728500edc2cb3880ffb2bc,-1
worker_5,57728030edc2cb3880f07e00,-2
worker_5,57726f0dedc2cb3880b94625,3
worker_5,57728703edc2cb3880061039,3
worker_6,577284aeedc2cb3880fe8ca7,1
worker_6,57728500edc2cb3880ffb2bc,-1
worker_6,57728030edc2cb3880f07e00,-1
worker_6,57726f0dedc2cb3880b94625,1
worker_6,57728703edc2cb3880061039,-2
worker_7,577284aeedc2cb3880fe8ca7,2
worker_7,57728500edc2cb3880ffb2bc,-3
worker_7,57728030edc2cb3880f07e00,0
worker_7,57726f0dedc2cb3880b94625,3
worker_7,57728703edc2cb3880061039,-3
worker_8,577284aeedc2cb3880fe8ca7,1
worker_8,57728500edc2cb3880ffb2bc,1
worker_8,57728030edc2cb3880f07e00,1
worker_8,57726f0dedc2cb3880b94625,1
worker_8,57728703edc2cb3880061039,0
worker_9,577284aeedc2cb3880fe8ca7,-3
worker_9,57728500edc2cb3880ffb2bc,0
worker_9,57728030edc2cb3880f07e00,0
worker_9,57726f0dedc2cb3880b94625,1
worker_9,57728703edc2cb3880061039,0
worker_10,577284aeedc2cb3880fe8ca7,0
worker_10,57728500edc2cb3880ffb2bc,2
worker_10,57728030edc2cb3880f07e00,1
worker_10,57726f0dedc2cb3880b94625,0
worker_10,57728703edc2cb3880061039,1
worker_11,57728095edc2cb3880f1c3f4,1
worker_11,57726f0fedc2cb3880b94ae6,3
worker_11,57726e8dedc2cb3880b76528,-3
worker_11,5772850cedc2cb3880ffc52b,2
worker_11,57727334edc2cb3880c7ea9a,2
worker_12,57728095edc2cb3880f1c3f4,0
worker_12,57726f0fedc2cb3880b94ae6,2
worker_12,57726e8dedc2cb3880b76528,0
worker_12,5772850cedc2cb3880ffc52b,1
worker_12,57727334edc2cb3880c7ea9a,2
worker_13,57728095edc2cb3880f1c3f4,-2
worker_13,57726f0fedc2cb3880b94ae6,2
worker_13,57726e8dedc2cb3880b76528,2
worker_13,5772850cedc2cb3880ffc52b,3
worker_13,57727334edc2cb3880c7ea9a,2
worker_14,57728095edc2cb3880f1c3f4,-1
worker_14,57726f0fedc2cb3880b94ae6,1
worker_14,57726e8dedc2cb3880b76528,1
worker_14,5772850cedc2cb3880ffc52b,2
worker_14,57727334edc2cb3880c7ea9a,3
worker_15,57728095edc2cb3880f1c3f4,3
worker_15,57726f0fedc2cb3880b94ae6,3
worker_15,57726e8dedc2cb3880b76528,2
worker_15,5772850cedc2cb3880ffc52b,3
worker_15,57727334edc2cb3880c7ea9a,3
worker_16,57728095edc2cb3880f1c3f4,3
worker_16,57726f0fedc2cb3880b94ae6,3
